wavelength,D50,D55,D65,D75
404,0.523184508,0.64141639,0.864366655,1.06116136
405,0.529255425,0.647606103,0.871362741,1.069242587
406,0.53609054,0.654748139,0.879614746,1.078814916
407,0.5438467,0.663037874,0.889386284,1.090199364
408,0.551944878,0.671754633,0.899661456,1.102101417
409,0.55930602,0.679554944,0.908579217,1.112191016
410,0.565282694,0.685632726,0.91502294,1.119070127
411,0.570083724,0.69025192,0.919341689,1.123150894
412,0.573656214,0.693354271,0.921442748,1.124294556
413,0.576491668,0.695540174,0.922186395,1.123625766
414,0.579409261,0.69781029,0.923006432,1.12301894
415,0.582884069,0.700748171,0.924747861,1.123586335
416,0.586811222,0.704227001,0.927232516,1.125098066
417,0.591312019,0.708390438,0.930653842,1.127796411
418,0.595730676,0.712469664,0.933998777,1.130432792
419,0.599001603,0.715211382,0.935604352,1.130946898
420,0.600485445,0.715863616,0.934472783,1.128102544
421,0.600486792,0.714777526,0.931051289,1.122437016
422,0.599250925,0.712224459,0.925653967,1.114298049
423,0.596867328,0.708333885,0.918517285,1.104036808
424,0.59348514,0.703321587,0.910035352,1.092238566
425,0.589393562,0.697541383,0.900713685,1.079561886
426,0.584654587,0.691057114,0.890612611,1.066059498
427,0.579006503,0.683580593,0.879402752,1.051371272
428,0.574357011,0.677225795,0.869538144,1.038220047
429,0.573552743,0.675142103,0.864660427,1.030631554
430,0.57830168,0.679219149,0.866954588,1.031021229
431,0.588351336,0.689179814,0.8761125,1.039063486
432,0.60398187,0.705334424,0.892506048,1.055187533
433,0.623457628,0.72576014,0.913886488,1.076874311
434,0.643885855,0.747252233,0.936505914,1.099925388
435,0.663340404,0.767674588,0.957867784,1.121548847
436,0.682092209,0.787326463,0.978322729,1.142139354
437,0.70006083,0.806121874,0.997767915,1.161575102
438,0.717076982,0.82385091,1.015974117,1.17964655
439,0.733176012,0.840519174,1.032972282,1.196459231
440,0.748379129,0.856130027,1.04878098,1.212076464
441,0.762379619,0.870347305,1.063007191,1.226054196
442,0.774805372,0.882756626,1.075173372,1.23786974
443,0.786314003,0.894105174,1.086131516,1.248426518
444,0.79800154,0.905638257,1.097301615,1.259230227
445,0.810489819,0.918066152,1.10949327,1.271134902
446,0.823633003,0.931224658,1.122519128,1.283940102
447,0.83761271,0.945314883,1.136608933,1.297895655
448,0.851413511,0.959220574,1.150486785,1.311604275
449,0.86340266,0.97114282,1.162096831,1.322819469
450,0.872600508,0.980002277,1.17020556,1.330193339
451,0.879204481,0.986018312,1.175060989,1.333991025
452,0.883064578,0.989026344,1.176469913,1.333993335
453,0.885113023,0.990050932,1.17561103,1.331502218
454,0.886903521,0.990799675,1.174448843,1.328687591
455,0.889419886,0.992352301,1.174222712,1.326916106
456,0.892496307,0.994525966,1.174721162,1.325953254
457,0.896247006,0.997448345,1.176095007,1.325968842
458,0.900255651,1.00064657,1.177772158,1.326307941
